0:0:0:0:0:0:0:1 - - [12/Jun/2022:00:10:54 -0500] "GET /Store/ConfirmarCompra HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/assets/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/Acceso.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/knockout-3.5.1.debug.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/assets/dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:57 -0500] "GET /Store/knockout-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:58 -0500] "GET /Store/ConfirmaSession HTTP/1.1" 200 16
127.0.0.1 - - [12/Jun/2022:13:18:58 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:18:58 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:18:58 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:18:58 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:18:58 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:18:58 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:13:18:58 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:18:58 -0500] "GET /favicon.ico HTTP/1.1" 404 698
127.0.0.1 - admin [12/Jun/2022:13:19:00 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:13:19:00 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:19:00 -0500] "GET /manager/text/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:19:06 -0500] "GET /Store/LoginAccess?correo=admin2%40admin.com&pwd=admin123 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:19:07 -0500] "GET /Store/Inicio HTTP/1.1" 200 19122
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:19:07 -0500] "GET /Store/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:19:07 -0500] "GET /Store/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:19:08 -0500] "GET /Store/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:19:08 -0500] "GET /Store/logoEShop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:19:08 -0500] "GET /Store/VerificaComponentes HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:09 -0500] "GET /Store/Pedidos HTTP/1.1" 200 17011
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:09 -0500] "GET /Store/Pedidos HTTP/1.1" 200 17011
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:09 -0500] "GET /Store/VerificaComponentes HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:11 -0500] "GET /Store/LogOut HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:12 -0500] "GET /Store/ HTTP/1.1" 200 10133
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:13 -0500] "GET /Store/ConfirmaSession HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:18 -0500] "GET /Store/LoginAccess?correo=admin%40admin.com&pwd=admin123 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:20 -0500] "GET /Store/Inicio HTTP/1.1" 200 19122
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:20 -0500] "GET /Store/VerificaComponentes HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:24 -0500] "GET /Store/Pedidos HTTP/1.1" 200 603672
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:25 -0500] "GET /Store/VerificaComponentes HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:28 -0500] "GET /Store/Pedidos HTTP/1.1" 200 603672
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:28 -0500] "GET /Store/VerificaComponentes HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:41 -0500] "GET /Store/LogOut HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:42 -0500] "GET /Store/ HTTP/1.1" 200 10133
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:42 -0500] "GET /Store/ConfirmaSession HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:46 -0500] "GET /Store/LoginAccess?correo=admin2%40admin.com&pwd=admin123 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:47 -0500] "GET /Store/Inicio HTTP/1.1" 200 19122
0:0:0:0:0:0:0:1 - - [12/Jun/2022:13:21:48 -0500] "GET /Store/VerificaComponentes HTTP/1.1" 200 16
127.0.0.1 - - [12/Jun/2022:13:36:53 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:36:53 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:36:53 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:36:53 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:36:53 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:36:53 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:13:36:53 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:13:36:56 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:13:36:56 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:36:56 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:36:57 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:36:57 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:13:36:57 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:36:57 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:13:36:57 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:13:36:59 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:13:36:59 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:13:36:59 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:12:09 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:09 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:12:09 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:09 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:12:09 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:09 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:12:09 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:12:11 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:12:11 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:11 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:12:13 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:13 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:12:13 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:13 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:12:13 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:12:15 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:12:15 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:15 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:12:19 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:19 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:12:19 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:19 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:12:19 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:19 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:12:19 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:12:20 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:12:20 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:12:20 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:29:06 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:29:06 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:29:06 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:29:06 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:29:06 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:29:06 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:29:07 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:29:09 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:29:09 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:29:09 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:29:29 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:29:29 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:29:29 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:29:29 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:29:29 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:29:29 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:29:29 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:29:31 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:29:31 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:29:31 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:34:36 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:34:36 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:34:36 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:34:36 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:34:36 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:34:36 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:34:36 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:34:38 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:34:38 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:34:38 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:34:43 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:34:43 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:34:43 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:34:43 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:34:43 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:34:43 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:34:43 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:34:44 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:34:44 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:34:44 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:37:23 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:37:23 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:37:23 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:37:23 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:37:23 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:37:23 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:37:23 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:37:25 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:37:25 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:37:25 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:39:20 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:39:20 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:39:20 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:39:20 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:39:20 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:39:20 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:39:20 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - - [12/Jun/2022:14:39:22 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:39:22 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - admin [12/Jun/2022:14:39:22 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:55:31 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:55:31 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:55:31 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:55:31 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:55:31 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:55:31 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:55:31 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:55:33 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:55:33 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:55:33 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:56:36 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:56:36 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:56:36 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:56:36 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:56:36 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:56:36 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:56:36 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:56:38 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:56:38 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:56:38 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:57:13 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:57:13 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:57:13 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:57:13 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:57:13 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:57:13 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:57:13 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:57:15 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:57:15 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:57:15 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:59:25 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:59:25 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:59:25 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:59:25 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:59:25 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:59:25 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:59:25 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:14:59:28 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:14:59:28 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:59:28 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:59:58 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:59:58 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:59:58 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:59:58 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:14:59:58 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:14:59:58 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [12/Jun/2022:14:59:58 -0500] "GET /manager/text/list HTTP/1.1" 200 1348
127.0.0.1 - admin [12/Jun/2022:15:00:00 -0500] "GET /manager/text/reload?path=/Store HTTP/1.1" 200 75
127.0.0.1 - - [12/Jun/2022:15:00:00 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:15:00:00 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:15:00:18 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [12/Jun/2022:15:00:18 -0500] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [12/Jun/2022:15:00:18 -0500] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
